"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"409","0-2","Female","pixelate",4,"AWS",444.558085808581,684
"410","0-2","Female","pixelate",4,"Azure",606.277227722772,684
"411","0-2","Female","pixelate",4,"GCP",672.00198019802,682
"412","0-2","Female","pixelate",4,"MogFace",645.811881188119,684
"413","0-2","Female","pixelate",4,"TinaFace",64.5,619
"414","0-2","Female","pixelate",4,"Yolov5",441.868151815181,684
"415","0-2","Female","pixelate",5,"AWS",361.026732673267,684
"416","0-2","Female","pixelate",5,"Azure",574.518316831683,684
"417","0-2","Female","pixelate",5,"GCP",666.456435643564,682
"418","0-2","Female","pixelate",5,"MogFace",636.150495049505,684
"419","0-2","Female","pixelate",5,"TinaFace",1.8,619
"420","0-2","Female","pixelate",5,"Yolov5",250.622277227723,684
"421","0-2","Female","jpeg-compression",1,"AWS",477.40099009901,684
"422","0-2","Female","jpeg-compression",1,"Azure",625.722277227723,684
"423","0-2","Female","jpeg-compression",1,"GCP",676.949504950495,682
"424","0-2","Female","jpeg-compression",1,"MogFace",662.592079207921,684
"425","0-2","Female","jpeg-compression",1,"TinaFace",471.386468646865,619
"426","0-2","Female","jpeg-compression",1,"Yolov5",540.912623762376,684
"427","0-2","Female","jpeg-compression",2,"AWS",420.527227722772,684
"428","0-2","Female","jpeg-compression",2,"Azure",615.309405940594,684
"429","0-2","Female","jpeg-compression",2,"GCP",676.89702970297,682
