"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"315","0-18","Male","motion-blur",5,"GCP",1337.19306930693,2133
"316","0-18","Male","zoom-blur",1,"AWS",2055.18811881188,2136
"317","0-18","Male","zoom-blur",1,"Azure",2056.57755775578,2132
"318","0-18","Male","zoom-blur",1,"GCP",2062.12871287129,2133
"319","0-18","Male","zoom-blur",2,"AWS",1960.77227722772,2136
"320","0-18","Male","zoom-blur",2,"Azure",1926.29207920792,2132
"321","0-18","Male","zoom-blur",2,"GCP",1967.19801980198,2133
"322","0-18","Male","zoom-blur",3,"AWS",1860.93564356436,2136
"323","0-18","Male","zoom-blur",3,"Azure",1850.13861386139,2132
"324","0-18","Male","zoom-blur",3,"GCP",1905.9801980198,2133
"325","0-18","Male","zoom-blur",4,"AWS",1660.67821782178,2136
"326","0-18","Male","zoom-blur",4,"Azure",1645.0396039604,2132
"327","0-18","Male","zoom-blur",4,"GCP",1796.95544554455,2133
"328","0-18","Male","zoom-blur",5,"AWS",1450.09405940594,2136
"329","0-18","Male","zoom-blur",5,"Azure",1393.68811881188,2132
"330","0-18","Male","zoom-blur",5,"GCP",1638.76732673267,2133
"331","0-18","Male","snow",1,"AWS",2090.0297029703,2136
"332","0-18","Male","snow",1,"Azure",2111.25412541254,2132
"333","0-18","Male","snow",1,"GCP",2042.04290429043,2133
"334","0-18","Male","snow",2,"AWS",1995.47744774477,2136
"335","0-18","Male","snow",2,"Azure",2076.29834983498,2132
"336","0-18","Male","snow",2,"GCP",1823.55885588559,2133
"337","0-18","Male","snow",3,"AWS",2010.35643564356,2136
"338","0-18","Male","snow",3,"Azure",2085.63069306931,2132
"339","0-18","Male","snow",3,"GCP",1691.45827439887,2133
"340","0-18","Male","snow",4,"AWS",1910.29372937294,2136
"341","0-18","Male","snow",4,"Azure",2027.45544554455,2132
"342","0-18","Male","snow",4,"GCP",1243.69837340877,2133
"343","0-18","Male","snow",5,"AWS",1913.68316831683,2136
"344","0-18","Male","snow",5,"Azure",1962.63102310231,2132
"345","0-18","Male","snow",5,"GCP",1254.09570957096,2133
"346","0-18","Male","frost",1,"AWS",2093.45544554455,2136
"347","0-18","Male","frost",1,"Azure",2107.81188118812,2132
"348","0-18","Male","frost",1,"GCP",2078.40594059406,2133
"349","0-18","Male","frost",2,"AWS",1986.05445544554,2136
"350","0-18","Male","frost",2,"Azure",2068.21782178218,2132
"351","0-18","Male","frost",2,"GCP",1959.585572843,2133
"352","0-18","Male","frost",3,"AWS",1860.00742574257,2136
"353","0-18","Male","frost",3,"Azure",2008.28217821782,2132
"354","0-18","Male","frost",3,"GCP",1779.60354785479,2133
"355","0-18","Male","frost",4,"AWS",1800.52475247525,2136
"356","0-18","Male","frost",4,"Azure",1971.80198019802,2132
"357","0-18","Male","frost",4,"GCP",1733.3801980198,2133
"358","0-18","Male","frost",5,"AWS",1669.14191419142,2136
"359","0-18","Male","frost",5,"Azure",1904.76237623762,2132
"360","0-18","Male","frost",5,"GCP",1593.26261197548,2133
"361","0-18","Male","fog",1,"AWS",2107.41584158416,2136
"362","0-18","Male","fog",1,"Azure",2115.61551155116,2132
"363","0-18","Male","fog",1,"GCP",2040.18712871287,2133
"364","0-18","Male","fog",2,"AWS",2109.72772277228,2136
"365","0-18","Male","fog",2,"Azure",2110.44554455446,2132
"366","0-18","Male","fog",2,"GCP",1995.99900990099,2133
"367","0-18","Male","fog",3,"AWS",2097.0099009901,2136
"368","0-18","Male","fog",3,"Azure",2108.21287128713,2132
"369","0-18","Male","fog",3,"GCP",1879.16454502593,2133
"370","0-18","Male","fog",4,"AWS",2087.71287128713,2136
"371","0-18","Male","fog",4,"Azure",2088.65841584158,2132
"372","0-18","Male","fog",4,"GCP",1787.38267326733,2133
"373","0-18","Male","fog",5,"AWS",2007.32673267327,2136
"374","0-18","Male","fog",5,"Azure",2026.53795379538,2132
"375","0-18","Male","fog",5,"GCP",1373.54031117397,2133
"376","0-18","Male","brightness",1,"AWS",2123.62376237624,2136
"377","0-18","Male","brightness",1,"Azure",2124.51815181518,2132
"378","0-18","Male","brightness",1,"GCP",2122.77227722772,2133
"379","0-18","Male","brightness",2,"AWS",2115.11386138614,2136
"380","0-18","Male","brightness",2,"Azure",2121.76237623762,2132
"381","0-18","Male","brightness",2,"GCP",2112.52475247525,2133
"382","0-18","Male","brightness",3,"AWS",2108.40759075908,2136
"383","0-18","Male","brightness",3,"Azure",2118.78217821782,2132
"384","0-18","Male","brightness",3,"GCP",2084.21782178218,2133
"385","0-18","Male","brightness",4,"AWS",2095.74653465347,2136
"386","0-18","Male","brightness",4,"Azure",2113.5,2132
"387","0-18","Male","brightness",4,"GCP",2050.33883388339,2133
"388","0-18","Male","brightness",5,"AWS",2086.65759075908,2136
"389","0-18","Male","brightness",5,"Azure",2103.19306930693,2132
"390","0-18","Male","brightness",5,"GCP",2018.09141914191,2133
"391","0-18","Male","contrast",1,"AWS",2103.9702970297,2136
"392","0-18","Male","contrast",1,"Azure",2117.56435643564,2132
"393","0-18","Male","contrast",1,"GCP",2104.50495049505,2133
"394","0-18","Male","contrast",2,"AWS",2102.0198019802,2136
"395","0-18","Male","contrast",2,"Azure",2113.82178217822,2132
"396","0-18","Male","contrast",2,"GCP",2083.93493635078,2133
"397","0-18","Male","contrast",3,"AWS",2090.71287128713,2136
"398","0-18","Male","contrast",3,"Azure",2093.70297029703,2132
"399","0-18","Male","contrast",3,"GCP",2039.82508250825,2133
"400","0-18","Male","contrast",4,"AWS",2033.12871287129,2136
"401","0-18","Male","contrast",4,"Azure",2015.47524752475,2132
"402","0-18","Male","contrast",4,"GCP",1260.53465346535,2133
"403","0-18","Male","contrast",5,"AWS",1500.33663366337,2136
"404","0-18","Male","contrast",5,"Azure",1494.80198019802,2127
"405","0-18","Male","contrast",5,"GCP",89.8514851485149,2133
"406","0-18","Male","elastic-transform",1,"AWS",480.915841584158,2136
"407","0-18","Male","elastic-transform",1,"Azure",634.122112211221,2132
"408","0-18","Male","elastic-transform",1,"GCP",1067.31518151815,2133
"409","0-18","Male","elastic-transform",2,"AWS",61.3366336633663,2136
"410","0-18","Male","elastic-transform",2,"Azure",102.504950495049,2132
"411","0-18","Male","elastic-transform",2,"GCP",289,2133
"412","0-18","Male","elastic-transform",3,"AWS",2023.09702970297,2136
"413","0-18","Male","elastic-transform",3,"Azure",2053.9904290429,2132
"414","0-18","Male","elastic-transform",3,"GCP",2078.43564356436,2133
